"Energy","Efficiency"
1.097297297297297405e+02,8.848265412859563916e-01
1.099399399399399471e+02,8.848147079396887493e-01
1.101501501501501536e+02,8.848028745931215688e-01
1.103603603603603602e+02,8.847910412462649532e-01
1.105705705705705810e+02,8.847792078991290055e-01
1.107807807807807876e+02,8.847673745517228294e-01
1.109909909909909942e+02,8.847555412040558620e-01
1.112012012012012008e+02,8.847437078561367629e-01
1.114114114114114216e+02,8.847318745079740809e-01
1.116216216216216282e+02,8.847200411595763647e-01
1.118318318318318347e+02,8.847082078109512748e-01
1.120420420420420413e+02,8.846963744621065828e-01
1.122522522522522621e+02,8.846845411130499492e-01
1.124624624624624687e+02,8.846727077637881465e-01
1.126726726726726753e+02,8.846608744143285019e-01
1.128828828828828819e+02,8.846490410646774549e-01
1.130930930930931027e+02,8.846372077148417779e-01
1.133033033033033092e+02,8.846253743648274659e-01
1.135135135135135158e+02,8.846135410146408473e-01
1.137237237237237224e+02,8.846017076642873622e-01
1.139339339339339432e+02,8.845898743137731168e-01
1.141441441441441498e+02,8.845780409631032182e-01
1.143543543543543564e+02,8.845662076122832174e-01
1.145645645645645629e+02,8.845543742613178884e-01
1.147747747747747837e+02,8.845425409102125602e-01
1.149849849849849903e+02,8.845307075589716739e-01
1.151951951951951969e+02,8.845188742075998922e-01
1.154054054054054035e+02,8.845070408561017672e-01
1.156156156156156243e+02,8.844952075044812956e-01
1.158258258258258309e+02,8.844833741527429183e-01
1.160360360360360374e+02,8.844715408008906321e-01
1.162462462462462440e+02,8.844597074489281008e-01
1.164564564564564648e+02,8.844478740968590991e-01
1.166666666666666714e+02,8.844360407446875127e-01
1.168768768768768780e+02,8.844242073924163394e-01
1.170870870870870988e+02,8.844123740400494649e-01
1.172972972972973054e+02,8.844005406875898867e-01
1.175075075075075119e+02,8.843887073350404915e-01
1.177177177177177185e+02,8.843768739824048319e-01
1.179279279279279393e+02,8.843650406296855726e-01
1.181381381381381459e+02,8.843532072768853780e-01
1.183483483483483525e+02,8.843413739240073568e-01
1.185585585585585591e+02,8.843295405710539514e-01
1.187687687687687799e+02,8.843177072180277154e-01
1.189789789789789864e+02,8.843058738649310913e-01
